version,reusability,flexibility,understandability,functionality,extendibility,effectiveness,overall_quality_score
v_1.5.25,0.510759,0.434218,0.633079,0.405704,0.502993,0.67946,0.527702
v_1.5.26,0.545808,0.406214,0.727745,0.338121,0.459622,0.666667,0.52403
v_1.5.27,0.521274,0.457727,0.704673,0.267329,0.424033,0.409834,0.464145
v_1.5.28,0.400159,0.462067,0.518572,0.298694,0.44435,0.335,0.409807
v_1.5.29,0.415845,0.462067,0.518572,0.319609,0.44435,0.355915,0.419393
v_1.5.30,0.337272,0.600303,0.173041,0.611568,0.609518,0.331405,0.443851
v_1.5.31,0.337272,0.600303,0.173041,0.611568,0.609518,0.331405,0.443851
v_1.5.32,0.339494,0.599216,0.156186,0.629937,0.605359,0.328822,0.443169
v_1.5.33,0.296065,0.550871,0.075692,0.6483,0.553942,0.322831,0.40795
v_1.5.34,0.303942,0.553942,0.071922,0.666667,0.553942,0.333333,0.413958
